Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Этажей;Цена;Метро;Дата постройки;Дата реконструкции;Даты кап. ремонты;Общая пл. здания, м2;Жилая пл., м2;Пл. нежелых помещений м2;Мансарда м2;Кол-во проживающих;Центральное отопление;Центральное ГВС;Центральное ЭС;Центарльное ГС;Тип Квартир;Кол-во квартир;Дата ТЭП;Виды кап. ремонта;Общее кол-во лифтов;Расстояние пешком;Время пешком;Расстояние на машине;Время на машине;Откуда взято
﻿Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;26,18;;0;4099000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/325998.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;25,7;2;0;4000000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;26;4;0;3883000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;26,42;;0;4200000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/333880.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;29,25;;0;4595000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/706821268.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;29,26;;0;4595000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/706821269.html
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;29,5;8;0;4156000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;30;10;0;4286000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;30,6;10;0;4372000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;33;;0;4890000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/332569.html
﻿Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;34,4;3;0;5250000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;34,6;6;0;5500000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;35;;0;5100000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/706820842.html
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;36;;0;5450000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/333476.html
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;38;;0;5680000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/328709.html
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;39;;0;5785000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/331958.html
Адмиралтейский;Парфеновская ул.;5;;;Студия Н;39,5;;0;5950000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/333180.html
Адмиралтейский;Парфеновская ул.;5;;;Студия Н;39,54;;0;6000000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;https://www.emls.ru/fullinfo/4/329285.html
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;40,8;2;0;5280000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;41,5;10;0;5784000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
﻿Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;41,8;2;0;5493000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;42;2;0;5436000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;42,2;2;0;5462000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;42,4;8;0;6079000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;42,7;10;0;5952000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;43,5;2;0;5630000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;43,7;10;0;6091000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;43,8;10;0;6105000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;46,4;9;0;6421000;;;;;0;0;0;0;0;False;False;False;False;;;01.01.0001;;0;;;;;
