Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Этажей;Цена;Метро;Дата постройки;Дата реконструкции;Даты кап. ремонты;Общая пл. здания, м2;Жилая пл., м2;Пл. нежелых помещений м2;Мансарда м2;Кол-во проживающих;Центральное отопление;Центральное ГВС;Центральное ЭС;Центарльное ГС;Тип Квартир;Кол-во квартир;Дата ТЭП;Виды кап. ремонта;Общее кол-во лифтов;Расстояние пешком;Время пешком;Расстояние на машине;Время на машине;Откуда взято
﻿Адмиралтейский;Перекопская;5;;;4 км. кв.;76,00;4;5;6650000;Нарвская;1917;;2004, 2005, 2007, 2008, 2010;4169,61;3266,01;508,6;0;3;True;True;True;True;2 комн., 3 комн., 4 комн. ;6, 7, 11;12.04.2009;Благоустройство придомовой территории, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш;0;354 м;4 мин;559 м;4 мин;https://www.bn.ru/detail/flats/2996237/
Адмиралтейский;Римского-Корсакова;103;;;4 км. кв.;84,30;4;5;7600000;Сенная площадь;1825;;2002, 2003, 2006, 2006, 2007, 2009, 2009, 2009, 2009;3952,8;3043,86;360,94;0;3;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн.;7, 11, 3, 3 ;12.04.2009;Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы отопления, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы холодного водоснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления, Ремонт фасадов без утепления;0;2600 м;31 мин;3100 м;13 мин;https://www.bn.ru/detail/flats/2433697/
Адмиралтейский;Обводного кан. наб.;121;;;4 км. кв.;87,00;4;4;7800000;Технологический институт;1929;;2006, 2006, 2009, 2009, 2011, 2011, 2013, 2014, 2017, 2017;4109,5;3200,4;477,1;0;3;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн.;1, 8, 24, 1 ;21.10.2013;Асфальтирование и замощение придомовой территории, Ремонт и восстановление озеленения, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы отопления, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления;0;;;;;https://www.bn.ru/detail/flats/3182664/
Адмиралтейский;Декабристов;11;;;4 км. кв.;114,00;5;5;7999000;Адмиралтейская;1840;;2007, 2007, 2007, 2017;3572,8;3059,5;382,8;0;6;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн. ;2, 6, 11, 6, 1;02.02.2011;Разные работы, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт фасадов без утепления;0;1400 м;16 мин;1600 м;10 мин;https://www.bn.ru/detail/flats/2924124/
Адмиралтейский;Витебская;21;;;5 км. кв.;83,70;1;5;8200000;Садовая;1901;1987-литер Б;2007, 2008, 2008, 2014;1771,6;1484,33;37;0;1;True;False;True;True;2 комн., 3 комн.;12, 10;14.12.2009;Благоустройство придомовой территории, Ремонт и восстановление озеленения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш;0;3000 м;35 мин;3300 м;14 мин;https://www.bn.ru/detail/flats/3048412/
Адмиралтейский;Подольская;45;;;4 км. кв.;85,20;3;6;8300000;Технологический институт;1917;;;3280,4;2474;346,4;0;5;True;True;True;True;2 комн., 3 комн., 4 комн., 5 комн.;9, 5, 2, 2;21.10.2013;;0;1000 м;12 мин;1100 м;3 мин;https://www.bn.ru/detail/flats/3160976/
Адмиралтейский;Подольская;38;;;4 км. кв.;114,00;7;6;8300000;Технологический институт;1911;;2003, 2003, 2004, 2004, 2006, 2007, 2007, 2009, 2009, 2009, 2009;5473;3865,1;1007,9;0;3;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн. ;2, 8, 4, 3, 1 ;12.04.2009;Капитальный ремонт лифтов (с заменой крупных узлов), Ремонт  (замена)изношенных внутриквартальных   инженерных наружных сетей  (вторичные сети)  с присоединением к существующим   магистральным сетям при расстоянии от ввода до точки подключения к магистралям до 150 м, Ремонт или восстановление ОДС, Ремонт или восстановление внутридомовых инженерных систем, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения;2;909 м;10 мин;1000 м;3 мин;https://www.bn.ru/detail/flats/3059577/
Адмиралтейский;Рижский;60;;;4 км. кв.;113,00;2;6;8500000;Нарвская;1897, 1904,1917;;2004, 2004, 2006, 2006, 2006, 2006, 2006, 2007, 2008, 2009, 2009, 2009;5861,67;4928,6;150,07;0;2;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн. ;5, 38, 16, 6, 2, 0, 0 ;12.04.2009;АВКР, Капитальный ремонт лифтов (с заменой крупных узлов), Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов, Ремонт или восстановление внутридомовых инженерных систем, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения, Ремонт конструкций и замена покрытий крыш, Ремонт подвальных помещений, Ремонт фасадов без утепления;4;3700 м;43 мин;3300 м;10 мин;https://www.bn.ru/detail/flats/2888482/
Адмиралтейский;Малодетскосельский;38;;;4 км. кв.;111,40;3;7;8800000;Технологический институт;1897;;;1605,7;1374,8;54,9;91,6;2;True;True;True;True;1 комн., 2 комн., 3 комн. ;1, 11, 7;21.10.2013;;1;729 м;8 мин;851 м;2 мин;https://www.bn.ru/detail/flats/3208371/
Адмиралтейский;Фонтанки реки наб.;103;;;4 км. кв.;120,10;4;6;10700000;Сенная площадь;1911;;2009, 2014, 2015, 2015, 2015, 2017;9895,5;7530,8;1425,2;22;17;True;True;True;True;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн.;4, 9, 16, 5, 4, 1 ;16.03.2010;Расходы на изготовление проектно-сметной документации, Ремонт или замена системы горячего водоснабжения, Ремонт или замена системы канализования и водоотведения, Ремонт или замена системы отопления, Ремонт или замена системы холодного водоснабжения, Ремонт или замена системы электроснабжения;1;810 м;9 мин;1200 м;8 мин;https://www.bn.ru/detail/flats/3152400/
