Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
﻿Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;26,18;;4099000;Фрунзенская;https://www.emls.ru/fullinfo/4/325998.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;25,7;2;4000000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;26;4;3883000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;26,42;;4200000;Фрунзенская;https://www.emls.ru/fullinfo/4/333880.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;29,25;;4595000;Фрунзенская;https://www.emls.ru/fullinfo/4/706821268.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;29,26;;4595000;Фрунзенская;https://www.emls.ru/fullinfo/4/706821269.html
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;29,5;8;4156000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;30;10;4286000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;30,6;10;4372000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;33;;4890000;Фрунзенская;https://www.emls.ru/fullinfo/4/332569.html
﻿Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;34,4;3;5250000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;34,6;6;5500000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;11;1;;Студия Н;35;;5100000;Фрунзенская;https://www.emls.ru/fullinfo/4/706820842.html
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;36;;5450000;Фрунзенская;https://www.emls.ru/fullinfo/4/333476.html
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;38;;5680000;Фрунзенская;https://www.emls.ru/fullinfo/4/328709.html
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;39;;5785000;Фрунзенская;https://www.emls.ru/fullinfo/4/331958.html
Адмиралтейский;Парфеновская ул.;5;;;Студия Н;39,5;;5950000;Фрунзенская;https://www.emls.ru/fullinfo/4/333180.html
Адмиралтейский;Парфеновская ул.;5;;;Студия Н;39,54;;6000000;Фрунзенская;https://www.emls.ru/fullinfo/4/329285.html
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;40,8;2;5280000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;41,5;10;5784000;Фрунзенская;
﻿Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;41,8;2;5493000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;42;2;5436000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;42,2;2;5462000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;42,4;8;6079000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;42,7;10;5952000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;43,5;2;5630000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;43,7;10;6091000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;43,8;10;6105000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;46,4;9;6421000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;46,8;2;6057000;Фрунзенская;
﻿Адмиралтейский;Парфеновская ул.;5;;;Студия Н;48,78;;8150000;Фрунзенская;https://www.emls.ru/fullinfo/4/333838.html
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;54,4;9;7366000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;57,8;10;8229000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;58,8;2;7786000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;59,2;10;8428000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;59,5;10;8471000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;59,9;2;7932000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;60,4;2;7396000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;60,5;10;8011000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;60,8;2;7143000;Фрунзенская;
﻿Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;61,3;10;8117000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;61,5;10;8144000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;62;2;7592000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;63,7;10;8118000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;64;2;7519000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;64;18;9049000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;64;19;9168000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;64,1;15;8705000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;64,1;19;9182000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;64,2;18;8838000;Фрунзенская;
﻿Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;64,2;19;8957000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;64,2;18;9077000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;64,3;10;8322000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;64,3;16;8852000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;9;1;;Студия Н;64,3;19;9211000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;65,1;4;8037000;Фрунзенская;
Адмиралтейский;Парфеновская ул.;7;1;;Студия Н;65,5;10;8347000;Фрунзенская;
