Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
﻿Адмиралтейский;Фонтанки реки наб.;101;;;Студия;20;1;3600000;Сенная площадь;https://www.emls.ru/fullinfo/1/1462301.html
Адмиралтейский;Загородный пр.;45;;;Студия;26;2;3800000;Пушкинская;https://www.emls.ru/fullinfo/1/1468413.html
Адмиралтейский;Гражданская ул.;7;;;Студия;17,1;2;2479000;Садовая;https://www.emls.ru/fullinfo/1/1467648.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия;26,18;10;4099000;Фрунзенская;https://www.emls.ru/fullinfo/4/325998.html
Адмиралтейский;Парфеновская ул.;11;1;;Студия;27;5;4350000;Фрунзенская;https://www.emls.ru/fullinfo/1/1469378.html
Адмиралтейский;Рижский пр.;50;;;Студия;17;2;1745000;Нарвская;https://www.emls.ru/fullinfo/1/1470389.html
Адмиралтейский;Рижский пр.;50;;;Студия;18;2;2045000;Нарвская;https://www.emls.ru/fullinfo/1/1471164.html
Адмиралтейский;Верейская ул.;42;;;Студия;14,15;2;2080000;;https://www.emls.ru/fullinfo/1/706568021.html
Адмиралтейский;Звенигородская ул.;6;;;Студия;17;1;2090000;Звенигородская;https://www.emls.ru/fullinfo/1/706570494.html
Адмиралтейский;Бумажная ул.;20;;;Студия;18,1;1;2200000;Нарвская;https://www.emls.ru/fullinfo/1/1466078.html
﻿Адмиралтейский;Гороховая ул.;51;;А;Студия;17,9;1;2285000;Сенная площадь;https://www.emls.ru/fullinfo/1/1471656.html
Адмиралтейский;Гороховая ул.;51;;А;Студия;18,6;1;2545000;Сенная площадь;https://www.emls.ru/fullinfo/1/1471163.html
Адмиралтейский;Английский пр.;21;;;Студия;36;2;2550000;Спасская;https://www.emls.ru/fullinfo/1/1465379.html
Адмиралтейский;Верейская ул.;46;;;Студия;20;1;2600000;;https://www.emls.ru/fullinfo/1/1463048.html
Адмиралтейский;Гороховая ул.;51;;;Студия;18,7;1;2675000;Сенная площадь;https://www.emls.ru/fullinfo/1/706567902.html
Адмиралтейский;Шкапина ул.;24;;А;Студия;24;2;3403000;Балтийская;https://www.emls.ru/fullinfo/1/1470407.html
Адмиралтейский;Шкапина ул.;24;;А;Студия;22,39;3;3434000;Балтийская;https://www.emls.ru/fullinfo/1/1471169.html
Адмиралтейский;Шкапина ул.;24;;А;Студия;24;2;3476000;Балтийская;https://www.emls.ru/fullinfo/1/1470409.html
