Нас. пункт;Улица;Номер;Корпус;Литера;Метро
﻿Санкт-Петербург;1-й Муринский;2;;;Лесная
﻿Санкт-Петербург;1-й Муринский;13;;;Лесная
﻿Санкт-Петербург;1-й Муринский;19;;;Лесная
﻿Санкт-Петербург;1-й Предпортовый;14;;;Московская
﻿Санкт-Петербург;1-й Рабфаковский;2;;;Пролетарская
﻿Санкт-Петербург;1-й Рабфаковский;3;;;Пролетарская
﻿Санкт-Петербург;1-й Рабфаковский;6;;;Ломоносовская
﻿Санкт-Петербург;1-й Рабфаковский;7;;;Пролетарская
﻿Санкт-Петербург;1-й Рабфаковский;9;1;;Пролетарская
﻿Санкт-Петербург;1-й Рабфаковский;11;;;Пролетарская
﻿Санкт-Петербург;1-я Линия;4;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;8;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;17;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;24;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;28;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;38;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;40;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;42;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;44;;;Василеостровская
﻿Санкт-Петербург;1-я Линия;48;;;Спортивная
﻿Санкт-Петербург;1-я Линия;56;;;Спортивная
﻿Санкт-Петербург;1-я Никитинская;17;;;Пионерская
﻿Санкт-Петербург;1-я Никитинская;19;;;Пионерская
﻿Санкт-Петербург;1-я Никитинская;30;;А;Удельная
﻿Санкт-Петербург;1-я Никитинская;30;;;Удельная
﻿Санкт-Петербург;1-я Полевая;24;;;Удельная
﻿Санкт-Петербург;1-я Советская;10;;;Восстания пл.
﻿Санкт-Петербург;1-я Советская;12;;;Восстания пл.
﻿Санкт-Петербург;1-я Утиная;12;;;Удельная
﻿Санкт-Петербург;1-я Утиная;28;1;;Озерки
﻿Санкт-Петербург;1-я Утиная;28;;;Удельная
﻿Санкт-Петербург;1-я Утиная;28;;;Озерки
﻿Санкт-Петербург;1-я Утиная;32;;;Удельная
﻿Санкт-Петербург;10-я Линия;9;;;Василеостровская
﻿Санкт-Петербург;10-я Линия;15;;;Василеостровская
﻿Санкт-Петербург;10-я Линия;16;;;Василеостровская
﻿Санкт-Петербург;10-я Линия;39;;;Василеостровская
﻿Санкт-Петербург;10-я Линия;43;;;Василеостровская
﻿Санкт-Петербург;10-я Линия;45;;;Василеостровская
﻿Санкт-Петербург;10-я Советская;8;;А;Восстания пл.
﻿Санкт-Петербург;10-я Советская;10;;А;Чернышевская
﻿Санкт-Петербург;10-я Советская;14;;;Восстания пл.
﻿Санкт-Петербург;10-я Советская;16;;;Восстания пл.
﻿Санкт-Петербург;10-я Советская;19;;;Восстания пл.
﻿Санкт-Петербург;10-я Советская;20;;;Восстания пл.
﻿Санкт-Петербург;10-я Советская;21;;;Восстания пл.
﻿Санкт-Петербург;10-я Советская;21;;;А.Hевского пл.
﻿Санкт-Петербург;11-я Линия;16;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;24;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;28;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;30;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;32;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;36;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;40;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;44;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;46;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;48;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;52;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;58;;;Василеостровская
﻿Санкт-Петербург;11-я Линия;60;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;13;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;19;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;33;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;35;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;37;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;53;;;Василеостровская
﻿Санкт-Петербург;12-я Линия;55;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;2;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;20;;А;Василеостровская
﻿Санкт-Петербург;13-я Линия;24;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;30;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;32;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;42;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;42;;А;Василеостровская
﻿Санкт-Петербург;13-я Линия;54;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;56;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;58;;;Василеостровская
﻿Санкт-Петербург;13-я Линия;64;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;3;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;21;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;45;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;67;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;73;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;91;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;93;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;95;;;Василеостровская
﻿Санкт-Петербург;14-я Линия;97;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;8;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;16;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;18;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;22;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;28;;;Василеостровская
﻿Санкт-Петербург;15-я Линия;34;;А;Василеостровская
﻿Санкт-Петербург;15-я Линия;34;;;Василеостровская
